Name,OID__c,Status__c,SDID__c,SD_Name__c
bread in toaster,O-001325,Active,SD-000356,Rec. play instr.
bread loaf,O-001326,Active,SD-000211,Identical
Bread-Toaster,O-001327,Active,SD-000360,Receptive
Bread-Toaster,O-001328,Active,SD-000123,Expressive
Break,O-001329,Active,SD-000056,Communication opportunity
Break,O-001330,Active,SD-000054,Independent request
Bridge,O-001333,Active,SD-000218,Imitation
Bridge,O-001334,Active,SD-000401,Receptive Instruction
Bring me (2 step),O-001335,Active,SD-000370,Receptive
Broccoli,O-001336,Active,SD-000007,2D Receptive
Brother's name,O-001338,Active,SD-000339,Q/A
Brother's name,O-001339,Active,SD-000411,Reciprocal
brown,O-001340,Active,SD-000266,Matching
brown,O-001341,Active,SD-000154,Expressive
brown,O-001342,Active,SD-000392,Receptive
Brown,O-001344,Active,SD-000128,Expressive
Brown,O-001345,Active,SD-000368,Receptive
Brown,O-001346,Active,SD-000257,Matching
brush,O-001347,Active,SD-000182,Future
Brush hair,O-001348,Active,SD-000066,Daily living task
Brush teeth,O-001349,Active,SD-000066,Daily living task
brushed,O-001350,Active,SD-000299,Past
Brushing,O-001351,Active,SD-000359,Receptive
Brushing,O-001352,Active,SD-000122,Expressive
brushing,O-001353,Active,SD-000322,Present
Brushing Videos,O-001354,Active,SD-000111,Exposure
b?,O-001355,Active,SD-000065,CV - VI
b?,O-001356,Active,SD-000065,CV - VI
Bubbles,O-001357,Active,SD-000323,Co-operative play with therapist
bubbles,O-001358,Active,SD-000083,Exp. labels PLQ
bubbles,O-001359,Active,SD-000266,Matching
bubbles,O-001360,Active,SD-000154,Expressive
bubbles,O-001361,Active,SD-000392,Receptive
Bucket-Spade,O-001364,Active,SD-000360,Receptive
Bucket-Spade,O-001365,Active,SD-000123,Expressive
build,O-001366,Active,SD-000182,Future
build (structure),O-001367,Active,SD-000460,Tell me how to
Build blocks,O-001368,Active,SD-000356,Rec. play instr.
Build megablocks 1 block,O-001369,Active,SD-000069,Do (activity)
Build megablocks 2 blocks,O-001370,Active,SD-000069,Do (activity)
Build megablocks 3 blocks,O-001371,Active,SD-000069,Do (activity)
Build Tower,O-001372,Active,SD-000356,Rec. play instr.
Build tower,O-001373,Active,SD-000069,Do (activity)
Builder,O-001374,Active,SD-000078,Exp. function
Builder,O-001375,Active,SD-000142,Expressive
Builder,O-001376,Active,SD-000414,Reverse exp. function
Builder,O-001377,Active,SD-000385,Receptive
Builder,O-001378,Active,SD-000094,Exposure
Builders,O-001379,Active,SD-000312,Play scenario
Building,O-001380,Active,SD-000359,Receptive
Building,O-001381,Active,SD-000288,Non-identical
Building,O-001382,Active,SD-000035,Brainstorming
Building,O-001383,Active,SD-000122,Expressive
Building,O-001384,Active,SD-000378,Receptive
Building,O-001385,Active,SD-000137,Expressive
building,O-001386,Active,SD-000322,Present
Building,O-001387,Active,SD-000406,Receptive/expressive
Building blocks,O-001388,Active,SD-000148,Expressive
Building blocks,O-001389,Active,SD-000431,Sequence
Building sandcastle,O-001390,Active,SD-000148,Expressive
Building sandcastle,O-001391,Active,SD-000431,Sequence
built,O-001392,Active,SD-000299,Past
Built,O-001393,Active,SD-000088,Exp. past tense
Bus,O-001394,Active,SD-000210,Identical
Bus,O-001395,Active,SD-000286,Non-Identical
Bus,O-001396,Active,SD-000211,Identical
Bus,O-001397,Active,SD-000287,Non-identical
Bus,O-001398,Active,SD-000212,Identical
Bus,O-001399,Active,SD-000288,Non-identical
Bus,O-001400,Active,SD-000135,Expressive
Bus,O-001401,Active,SD-000007,2D Receptive
Bus,O-001402,Active,SD-000011,3D Receptive
bus,O-001403,Active,SD-000266,Matching
bus,O-001404,Active,SD-000154,Expressive
Bus,O-001405,Active,SD-000363,Receptive
Bus,O-001406,Active,SD-000125,Expressive
bus,O-001407,Active,SD-000392,Receptive
Bus Driver,O-001408,Active,SD-000078,Exp. function
Bus Driver,O-001409,Active,SD-000142,Expressive
Bus Driver,O-001410,Active,SD-000414,Reverse exp. function
Bus Driver,O-001411,Active,SD-000385,Receptive
Bus driver,O-001412,Active,SD-000094,Exposure
Bus stop,O-001413,Active,SD-000381,Receptive
Bus stop,O-001414,Active,SD-000168,Expressive Occupation Location
Bus stop,O-001415,Active,SD-000139,Expressive
Bus stop,O-001416,Active,SD-000400,Receptive Function
Bus stop,O-001417,Active,SD-000165,Expressive Function
but,O-001418,Active,SD-000260,Matching
but,O-001419,Active,SD-000140,Expressive
but,O-001420,Active,SD-000266,Matching
but,O-001421,Active,SD-000154,Expressive
but,O-001422,Active,SD-000382,Receptive
but,O-001423,Active,SD-000392,Receptive
But first - generalised,O-001424,Active,SD-000233,Instruction w condition
But first - various,O-001425,Active,SD-000233,Instruction w condition
But first (action),O-001426,Active,SD-000233,Instruction w condition
But first (activity),O-001427,Active,SD-000233,Instruction w condition
But first bring me,O-001428,Active,SD-000233,Instruction w condition
But first go to,O-001429,Active,SD-000233,Instruction w condition
Butterfly,O-001430,Active,SD-000175,Expressive visual only
Butterfly,O-001431,Active,SD-000210,Identical
Button,O-001432,Active,SD-000371,Receptive
Button,O-001433,Active,SD-000131,Expressive
Buttons up,O-001434,Active,SD-000066,Daily living task
Buzz Lightyear,O-001435,Active,SD-000007,2D Receptive
by distance,O-001436,Active,SD-000038,Call name
By Time (secs),O-001437,Active,SD-000475,Tolerance to Music
By Volume,O-001438,Active,SD-000475,Tolerance to Music
Bye,O-001439,Active,SD-000408,Reciprocal
Bye (name),O-001440,Active,SD-000408,Reciprocal
c,O-001441,Active,SD-000445,Sound paired w gesture
C,O-001442,Active,SD-000259,Matching
c,O-001443,Active,SD-000259,Matching
C,O-001444,Active,SD-000380,Receptive
c,O-001445,Active,SD-000380,Receptive
c,O-001446,Active,SD-000387,Receptive
c,O-001447,Active,SD-000479,Trace
C,O-001448,Active,SD-000479,Trace
c,O-001449,Active,SD-000438,Single sound VI
c,O-001450,Active,SD-000520,Write (no visual)
C,O-001451,Active,SD-000520,Write (no visual)
C,O-001452,Active,SD-000138,Expressive
c,O-001453,Active,SD-000138,Expressive
c,O-001454,Active,SD-000145,Expressive
c,O-001455,Active,SD-000521,Write (with visual)
C,O-001456,Active,SD-000521,Write (with visual)
c words,O-001457,Active,SD-000518,Words - VI
c/k,O-001458,Active,SD-000424,Say (sound) th points
c?,O-001459,Active,SD-000065,CV - VI
c?,O-001460,Active,SD-000065,CV - VI
Cake,O-001461,Active,SD-000135,Expressive
Can control vs can't control,O-001463,Active,SD-000032,Brainstorm
Can control vs can't control,O-001464,Active,SD-000340,Q/A
Can control vs can't control,O-001465,Active,SD-000451,Statement
Can I have (item),O-001466,Active,SD-000054,Independent request
Cap,O-001467,Active,SD-000371,Receptive
Cap,O-001468,Active,SD-000131,Expressive
Car,O-001469,Active,SD-000210,Identical
Car,O-001470,Active,SD-000286,Non-Identical
Car,O-001471,Active,SD-000211,Identical
Car,O-001472,Active,SD-000287,Non-identical
Car,O-001473,Active,SD-000212,Identical
Car,O-001474,Active,SD-000288,Non-identical
Car,O-001475,Active,SD-000218,Imitation
Car,O-001476,Active,SD-000401,Receptive Instruction
Car,O-001477,Active,SD-000180,From model
Car,O-001478,Active,SD-000374,Receptive
Car,O-001479,Active,SD-000135,Expressive
Car,O-001480,Active,SD-000326,Pretend to be
Car,O-001481,Active,SD-000007,2D Receptive
Car,O-001482,Active,SD-000011,3D Receptive
car,O-001483,Active,SD-000456,Synonym
car,O-001484,Active,SD-000266,Matching
car,O-001485,Active,SD-000154,Expressive
Car,O-001486,Active,SD-000363,Receptive
Car,O-001487,Active,SD-000125,Expressive
Car,O-001488,Active,SD-000238,Item
Car,O-001489,Active,SD-000220,Imitation
Car,O-001490,Active,SD-000272,missing component
car,O-001491,Active,SD-000392,Receptive
Car,O-001493,Active,SD-000523,Written Word
Car park,O-001497,Active,SD-000381,Receptive
Car park,O-001498,Active,SD-000168,Expressive Occupation Location
Car park,O-001499,Active,SD-000139,Expressive
Car park,O-001500,Active,SD-000400,Receptive Function
Car park,O-001501,Active,SD-000165,Expressive Function
Car wash,O-001502,Active,SD-000381,Receptive
Car wash,O-001503,Active,SD-000168,Expressive Occupation Location
Car wash,O-001504,Active,SD-000139,Expressive
Car wash,O-001505,Active,SD-000400,Receptive Function
Car wash,O-001506,Active,SD-000165,Expressive Function
Car-Tyre,O-001507,Active,SD-000360,Receptive
Car-Tyre,O-001508,Active,SD-000123,Expressive
Cards 1m away,O-001509,Active,SD-000377,Receptive
Cards 2m away,O-001510,Active,SD-000377,Receptive
Cards 3m away,O-001511,Active,SD-000377,Receptive
Cards across room,O-001512,Active,SD-000377,Receptive
Cards in front,O-001513,Active,SD-000377,Receptive
Carpark,O-001514,Active,SD-000117,Exposure
Cars,O-001517,Active,SD-000023,Activity
Cars,O-001518,Active,SD-000311,Planned model with toy
Carwash,O-001519,Active,SD-000117,Exposure
castanet,O-001520,Active,SD-000294,Out of sight
Cat,O-001521,Active,SD-000210,Identical
Cat,O-001522,Active,SD-000286,Non-Identical
Cat,O-001523,Active,SD-000211,Identical
Cat,O-001524,Active,SD-000287,Non-identical
Cat,O-001525,Active,SD-000212,Identical
Cat,O-001526,Active,SD-000288,Non-identical
Cat,O-001527,Active,SD-000170,Expressive Q/A
Cat,O-001528,Active,SD-000170,Expressive Q/A
Cat,O-001529,Active,SD-000135,Expressive
Cat,O-001530,Active,SD-000262,Matching
Cat,O-001531,Active,SD-000326,Pretend to be
Cat,O-001532,Active,SD-000007,2D Receptive
Cat,O-001533,Active,SD-000011,3D Receptive
cat,O-001534,Active,SD-000266,Matching
cat,O-001535,Active,SD-000154,Expressive
Cat,O-001536,Active,SD-000363,Receptive
Cat,O-001537,Active,SD-000125,Expressive
Cat,O-001538,Active,SD-000403,Receptive Q/A
Cat,O-001539,Active,SD-000160,Expressive (Animal says...)
cat,O-001540,Active,SD-000392,Receptive
Cat,O-001542,Active,SD-000523,Written Word
Cat,O-001543,Active,SD-000135,Expressive
catch,O-001545,Active,SD-000182,Future
Catch ball,O-001546,Active,SD-000217,Imitation
Catch ball,O-001547,Active,SD-000361,Receptive
Catch Balloon,O-001549,Active,SD-000217,Imitation
Catch Balloon,O-001550,Active,SD-000361,Receptive
Catching,O-001551,Active,SD-000359,Receptive
Catching,O-001552,Active,SD-000122,Expressive
catching,O-001553,Active,SD-000322,Present
Category,O-001555,Active,SD-000039,Category exclusion (expressive)
category,O-001556,Active,SD-000150,Expressive
